FieldID,Region,FieldArea_ha,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,PloughDepth_cm,PloughMethod,SoilAdjustment_kgLime,IrrigationAdvice,SeedAmount_kg,PlantSpacing_cm,Fertilizer_Basal_Urea_kg,Fertilizer_Basal_TSP_kg,Fertilizer_Basal_MOP_kg,WaterManagementAdvice_Stage4,TillerIncreaseTip,Fertilizer_2ndDose_Urea_kg,Fertilizer_2ndDose_TSP_kg,Fertilizer_2ndDose_MOP_kg,WaterControlAdvice_Stage5,WaterControlAdvice_Stage6,PesticideSuggestion,HumidityTarget_%,WaterLevelAdvice_Stage7,PredictedYield_kg_ha,HarvestingDate,FinalMoisture_%,PostHarvestAdvice
21,Dry Low,3.85,7.09,27.2,81.2,1854.2,17,Chisel,635,Maintain 5cm water,224.7,23,462.0,265.65,231.0,Maintain 3-5cm water,Thin seedlings,184.8,106.26,92.4,Reduce water 2 days,Maintain shallow flooding,,89.6,Shallow water 3 days,5160.3,2026-02-22,13.5,Sun-dry 3 days
22,Dry Low,4.04,7.1,31.1,80.6,1271.5,14,Mouldboard,733,Maintain 5cm water,225.7,20,484.8,278.76,242.4,Alternate wetting,Thin seedlings,193.92,111.5,96.96,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,84.2,Maintain 3-5cm,5067.2,2026-02-21,15.1,Sun-dry 3 days
23,Wet Low,3.25,6.03,28.8,86.6,1119.8,14,Rotavator,772,Irrigate weekly,172.1,19,390.0,195.0,195.0,Alternate wetting,Thin seedlings,156.0,78.0,78.0,Maintain 5cm water,Maintain shallow flooding,Chlorpyrifos,88.5,Maintain 3-5cm,5215.8,2026-02-27,14.0,Sun-dry 3 days
24,Wet Low,4.08,4.86,27.6,80.1,1588.3,14,Mouldboard,775,Irrigate weekly,233.1,21,489.6,293.76,244.8,Maintain 3-5cm water,Thin seedlings,195.84,117.5,97.92,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,86.3,Alternate wetting,5529.8,2026-02-26,15.9,Sun-dry 3 days
25,Dry Low,2.98,4.9,29.6,89.0,1400.7,14,Chisel,536,Maintain 5cm water,164.7,22,357.6,214.56,178.8,Alternate wetting,Thin seedlings,143.04,85.82,71.52,Maintain 5cm water,Ensure moist soil,Fipronil,87.4,Maintain 3-5cm,5626.0,2026-02-19,14.9,Sun-dry 3 days
26,Dry Low,3.09,6.4,30.8,87.9,1792.2,12,Rotavator,475,Maintain 5cm water,171.0,18,370.8,185.4,185.4,Maintain 3-5cm water,Apply split N,148.32,74.16,74.16,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,87.7,Shallow water 3 days,5436.2,2026-02-24,15.5,Sun-dry 3 days
27,Dry Low,2.71,7.09,28.1,81.4,932.1,14,Rotavator,434,Irrigate weekly,148.5,22,325.2,186.99,162.6,Keep flooded,Apply split N,130.08,74.8,65.04,Maintain 5cm water,Ensure moist soil,,85.0,Shallow water 3 days,5911.0,2026-02-27,13.4,Store under shade
28,Intermediate Low,1.1,7.05,30.1,86.3,2456.5,17,Chisel,400,Maintain 5cm water,60.5,24,132.0,75.9,66.0,Keep flooded,Apply split N,52.8,30.36,26.4,Reduce water 2 days,Ensure moist soil,Fipronil,85.4,Alternate wetting,4036.5,2026-02-25,15.6,Sun-dry 3 days
29,Intermediate Low,1.43,6.62,27.4,86.3,2476.6,15,Chisel,695,Start irrigation after 3 days,82.4,19,171.6,85.8,85.8,Alternate wetting,Apply split N,68.64,34.32,34.32,Maintain 5cm water,Reduce water pre-flowering,,85.1,Shallow water 3 days,4391.6,2026-02-22,15.8,Sun-dry 3 days
30,Intermediate Low,1.13,6.07,27.3,76.5,1986.9,15,Chisel,719,Maintain 5cm water,57.7,22,135.6,67.8,67.8,Maintain 3-5cm water,Thin seedlings,54.24,27.12,27.12,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,85.9,Maintain 3-5cm,4015.1,2026-02-19,14.5,Store under shade
31,Wet Low,3.55,3.84,29.7,88.5,1711.4,12,Mouldboard,459,Maintain 5cm water,189.4,18,426.0,255.6,213.0,Maintain 3-5cm water,Increase spacing,170.4,102.24,85.2,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,80.3,Shallow water 3 days,5294.9,2026-02-20,14.8,Store under shade
32,Intermediate Low,2.26,4.15,29.7,82.6,1326.2,14,Mouldboard,719,Start irrigation after 3 days,114.7,19,271.2,162.72,135.6,Alternate wetting,Apply split N,108.48,65.09,54.24,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,84.0,Alternate wetting,5796.1,2026-02-23,15.3,Store under shade
33,Wet Low,3.03,7.09,30.2,87.4,2183.5,14,Rotavator,748,Start irrigation after 3 days,174.3,22,363.6,209.07,181.8,Keep flooded,Increase spacing,145.44,83.63,72.72,Reduce water 2 days,Reduce water pre-flowering,Fipronil,86.1,Maintain 3-5cm,4487.0,2026-02-23,13.5,Sun-dry 3 days
34,Wet Low,4.63,5.93,30.6,79.8,1964.0,14,Chisel,727,Irrigate weekly,244.1,21,555.6,277.8,277.8,Alternate wetting,Apply split N,222.24,111.12,111.12,Flood for 1 week,Reduce water pre-flowering,,86.0,Alternate wetting,5854.1,2026-02-26,14.5,Thresh immediately
35,Intermediate Low,2.0,3.54,31.9,88.4,1076.4,16,Rotavator,666,Irrigate weekly,117.9,23,240.0,144.0,120.0,Keep flooded,Apply split N,96.0,57.6,48.0,Reduce water 2 days,Maintain shallow flooding,Fipronil,87.9,Maintain 3-5cm,4120.5,2026-02-24,14.2,Thresh immediately
36,Wet Low,2.64,3.91,29.6,80.8,2348.6,13,Rotavator,760,Start irrigation after 3 days,145.9,19,316.8,190.08,158.4,Maintain 3-5cm water,Increase spacing,126.72,76.03,63.36,Flood for 1 week,Maintain shallow flooding,Fipronil,86.6,Shallow water 3 days,5868.9,2026-02-26,13.4,Store under shade
37,Intermediate Low,4.02,6.15,28.6,75.2,2198.3,16,Rotavator,628,Start irrigation after 3 days,233.2,23,482.4,241.2,241.2,Keep flooded,Thin seedlings,192.96,96.48,96.48,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,89.9,Alternate wetting,4703.2,2026-02-20,14.1,Thresh immediately
38,Intermediate Low,1.92,3.52,31.0,88.6,2414.7,13,Rotavator,669,Irrigate weekly,114.8,19,230.4,138.24,115.2,Alternate wetting,Apply split N,92.16,55.3,46.08,Maintain 5cm water,Maintain shallow flooding,Fipronil,82.8,Alternate wetting,4202.8,2026-02-21,13.2,Store under shade
39,Dry Low,1.31,4.14,28.4,76.4,2033.7,14,Chisel,715,Maintain 5cm water,76.5,21,157.2,94.32,78.6,Maintain 3-5cm water,Apply split N,62.88,37.73,31.44,Maintain 5cm water,Maintain shallow flooding,Fipronil,83.6,Maintain 3-5cm,4971.7,2026-02-24,13.1,Sun-dry 3 days
40,Intermediate Low,2.16,5.69,29.2,79.8,1842.8,14,Rotavator,685,Start irrigation after 3 days,126.7,23,259.2,129.6,129.6,Alternate wetting,Apply split N,103.68,51.84,51.84,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,83.8,Alternate wetting,4513.6,2026-02-28,13.4,Thresh immediately
41,Dry Low,1.64,6.27,27.4,89.3,1511.0,16,Chisel,690,Irrigate weekly,88.7,20,196.8,98.4,98.4,Alternate wetting,Increase spacing,78.72,39.36,39.36,Flood for 1 week,Ensure moist soil,Fipronil,84.7,Maintain 3-5cm,4569.7,2026-02-21,15.9,Sun-dry 3 days
42,Intermediate Low,4.72,6.11,27.1,89.3,2385.6,16,Chisel,612,Maintain 5cm water,262.0,18,566.4,283.2,283.2,Keep flooded,Thin seedlings,226.56,113.28,113.28,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,88.4,Maintain 3-5cm,4614.6,2026-02-24,14.6,Thresh immediately
43,Intermediate Low,4.23,4.4,31.8,83.6,2272.3,13,Mouldboard,564,Start irrigation after 3 days,222.2,20,507.6,304.56,253.8,Alternate wetting,Increase spacing,203.04,121.82,101.52,Flood for 1 week,Maintain shallow flooding,Chlorpyrifos,82.4,Maintain 3-5cm,5606.1,2026-02-24,15.9,Sun-dry 3 days
44,Dry Low,3.53,6.35,31.2,84.5,876.9,15,Chisel,404,Maintain 5cm water,183.4,22,423.6,211.8,211.8,Keep flooded,Increase spacing,169.44,84.72,84.72,Flood for 1 week,Maintain shallow flooding,Chlorpyrifos,87.8,Maintain 3-5cm,5078.3,2026-02-20,14.3,Thresh immediately
45,Dry Low,4.49,4.45,30.5,81.7,844.8,13,Mouldboard,738,Irrigate weekly,247.2,21,538.8,323.28,269.4,Maintain 3-5cm water,Thin seedlings,215.52,129.31,107.76,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,84.1,Shallow water 3 days,4622.6,2026-02-25,13.9,Sun-dry 3 days
46,Intermediate Low,4.21,4.8,29.0,79.4,1440.0,16,Chisel,778,Start irrigation after 3 days,235.6,20,505.2,303.12,252.6,Keep flooded,Increase spacing,202.08,121.25,101.04,Maintain 5cm water,Reduce water pre-flowering,Fipronil,86.0,Maintain 3-5cm,5220.7,2026-02-20,14.5,Sun-dry 3 days
47,Wet Low,1.75,6.49,27.9,79.9,2177.9,17,Chisel,477,Maintain 5cm water,93.4,19,210.0,105.0,105.0,Maintain 3-5cm water,Thin seedlings,84.0,42.0,42.0,Flood for 1 week,Ensure moist soil,Chlorpyrifos,86.3,Alternate wetting,5432.3,2026-02-24,14.3,Thresh immediately
48,Dry Low,4.57,6.1,27.8,85.1,2478.4,16,Chisel,461,Start irrigation after 3 days,254.5,22,548.4,274.2,274.2,Keep flooded,Apply split N,219.36,109.68,109.68,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,83.7,Shallow water 3 days,4545.2,2026-02-19,13.3,Sun-dry 3 days
49,Wet Low,3.16,6.9,28.3,86.3,1055.7,17,Mouldboard,531,Maintain 5cm water,186.0,22,379.2,189.6,189.6,Alternate wetting,Thin seedlings,151.68,75.84,75.84,Maintain 5cm water,Reduce water pre-flowering,Fipronil,85.1,Alternate wetting,4827.1,2026-02-21,14.9,Sun-dry 3 days
50,Wet Low,4.23,6.13,29.7,86.9,1810.0,12,Mouldboard,488,Irrigate weekly,235.0,20,507.6,253.8,253.8,Keep flooded,Apply split N,203.04,101.52,101.52,Maintain 5cm water,Ensure moist soil,Fipronil,84.1,Shallow water 3 days,4243.8,2026-02-20,13.6,Sun-dry 3 days
51,Wet Low,4.58,5.77,30.6,86.8,1447.5,16,Rotavator,636,Irrigate weekly,262.0,20,549.6,274.8,274.8,Keep flooded,Increase spacing,219.84,109.92,109.92,Reduce water 2 days,Ensure moist soil,,80.7,Maintain 3-5cm,4362.3,2026-02-25,14.9,Thresh immediately
52,Dry Low,2.27,3.87,30.3,76.4,2448.9,12,Mouldboard,441,Start irrigation after 3 days,131.8,21,272.4,163.44,136.2,Maintain 3-5cm water,Increase spacing,108.96,65.38,54.48,Flood for 1 week,Ensure moist soil,Fipronil,84.4,Shallow water 3 days,5362.2,2026-02-22,15.0,Thresh immediately
53,Wet Low,1.44,4.97,28.4,82.4,2231.6,15,Mouldboard,488,Maintain 5cm water,86.2,18,172.8,103.68,86.4,Alternate wetting,Apply split N,69.12,41.47,34.56,Flood for 1 week,Maintain shallow flooding,Fipronil,81.0,Shallow water 3 days,4362.9,2026-02-26,13.5,Sun-dry 3 days
54,Dry Low,1.91,4.56,31.8,75.9,2225.2,13,Mouldboard,695,Start irrigation after 3 days,107.0,20,229.2,137.52,114.6,Keep flooded,Increase spacing,91.68,55.01,45.84,Reduce water 2 days,Reduce water pre-flowering,,84.1,Alternate wetting,5050.3,2026-02-24,13.2,Sun-dry 3 days
55,Wet Low,2.71,4.48,30.7,83.2,1596.8,17,Mouldboard,727,Start irrigation after 3 days,157.4,24,325.2,195.12,162.6,Alternate wetting,Thin seedlings,130.08,78.05,65.04,Flood for 1 week,Maintain shallow flooding,Fipronil,85.9,Alternate wetting,5418.1,2026-02-28,15.3,Thresh immediately
56,Intermediate Low,4.27,7.39,29.8,81.6,1505.2,13,Rotavator,694,Maintain 5cm water,254.6,20,512.4,294.63,256.2,Keep flooded,Apply split N,204.96,117.85,102.48,Maintain 5cm water,Maintain shallow flooding,Fipronil,85.8,Maintain 3-5cm,4213.8,2026-02-22,14.4,Thresh immediately
57,Intermediate Low,4.44,5.07,30.1,88.3,1264.8,12,Mouldboard,503,Maintain 5cm water,263.9,23,532.8,293.04,266.4,Keep flooded,Increase spacing,213.12,117.22,106.56,Flood for 1 week,Ensure moist soil,Fipronil,86.6,Shallow water 3 days,5134.6,2026-02-23,13.2,Sun-dry 3 days
58,Dry Low,1.03,7.07,29.1,80.3,895.8,17,Chisel,413,Maintain 5cm water,53.0,19,123.6,71.07,61.8,Alternate wetting,Apply split N,49.44,28.43,24.72,Maintain 5cm water,Maintain shallow flooding,Fipronil,81.0,Shallow water 3 days,4513.1,2026-02-27,16.0,Sun-dry 3 days
59,Intermediate Low,3.04,6.02,28.2,76.8,2270.0,13,Chisel,687,Irrigate weekly,164.4,24,364.8,182.4,182.4,Keep flooded,Thin seedlings,145.92,72.96,72.96,Reduce water 2 days,Ensure moist soil,,86.5,Shallow water 3 days,5925.9,2026-02-25,13.2,Sun-dry 3 days
60,Intermediate Low,2.67,6.68,28.8,77.1,2181.9,16,Mouldboard,578,Start irrigation after 3 days,142.2,24,320.4,160.2,160.2,Alternate wetting,Thin seedlings,128.16,64.08,64.08,Maintain 5cm water,Reduce water pre-flowering,Fipronil,83.1,Maintain 3-5cm,4967.1,2026-02-28,15.1,Store under shade
61,Wet Low,1.89,5.51,30.8,86.4,2499.5,14,Mouldboard,524,Start irrigation after 3 days,96.1,23,226.8,113.4,113.4,Keep flooded,Increase spacing,90.72,45.36,45.36,Flood for 1 week,Ensure moist soil,Fipronil,84.0,Maintain 3-5cm,5612.0,2026-02-27,16.0,Thresh immediately
62,Dry Low,1.48,5.81,27.1,84.3,2494.3,12,Chisel,752,Irrigate weekly,83.4,23,177.6,88.8,88.8,Maintain 3-5cm water,Thin seedlings,71.04,35.52,35.52,Flood for 1 week,Maintain shallow flooding,,88.6,Maintain 3-5cm,5100.5,2026-02-25,13.7,Store under shade
63,Wet Low,2.35,5.47,27.6,76.5,1744.2,13,Chisel,422,Maintain 5cm water,134.8,22,282.0,155.1,141.0,Alternate wetting,Apply split N,112.8,62.04,56.4,Flood for 1 week,Maintain shallow flooding,Chlorpyrifos,80.1,Maintain 3-5cm,4086.8,2026-02-19,13.4,Thresh immediately
64,Wet Low,4.77,4.28,27.2,76.3,2107.3,12,Rotavator,462,Irrigate weekly,279.0,18,572.4,343.44,286.2,Keep flooded,Thin seedlings,228.96,137.38,114.48,Reduce water 2 days,Ensure moist soil,,85.9,Maintain 3-5cm,5266.3,2026-02-26,13.4,Thresh immediately
65,Wet Low,2.29,6.39,27.2,85.5,2406.1,12,Chisel,542,Irrigate weekly,117.3,19,274.8,137.4,137.4,Keep flooded,Apply split N,109.92,54.96,54.96,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,86.0,Alternate wetting,5902.8,2026-02-22,13.9,Thresh immediately
66,Wet Low,3.08,4.62,31.3,76.1,2244.4,17,Chisel,552,Irrigate weekly,181.0,21,369.6,221.76,184.8,Maintain 3-5cm water,Apply split N,147.84,88.7,73.92,Flood for 1 week,Maintain shallow flooding,,84.0,Shallow water 3 days,5203.2,2026-02-21,13.3,Thresh immediately
67,Wet Low,3.81,3.6,30.5,87.3,1220.5,17,Mouldboard,544,Start irrigation after 3 days,215.0,24,457.2,274.32,228.6,Alternate wetting,Thin seedlings,182.88,109.73,91.44,Maintain 5cm water,Reduce water pre-flowering,,82.4,Shallow water 3 days,5638.4,2026-02-25,15.1,Thresh immediately
68,Wet Low,2.45,6.08,29.4,85.6,1565.9,14,Chisel,624,Irrigate weekly,139.7,21,294.0,147.0,147.0,Keep flooded,Increase spacing,117.6,58.8,58.8,Reduce water 2 days,Reduce water pre-flowering,Fipronil,82.3,Shallow water 3 days,5768.4,2026-02-21,13.2,Thresh immediately
69,Wet Low,4.89,4.21,27.5,76.2,1019.6,16,Rotavator,708,Start irrigation after 3 days,289.0,20,586.8,352.08,293.4,Maintain 3-5cm water,Thin seedlings,234.72,140.83,117.36,Flood for 1 week,Ensure moist soil,Chlorpyrifos,88.8,Shallow water 3 days,4456.2,2026-02-26,14.5,Thresh immediately
70,Dry Low,4.85,7.26,29.5,76.3,2421.9,12,Chisel,503,Start irrigation after 3 days,272.8,20,582.0,334.65,291.0,Keep flooded,Apply split N,232.8,133.86,116.4,Flood for 1 week,Reduce water pre-flowering,Fipronil,84.4,Shallow water 3 days,4424.1,2026-02-24,16.0,Store under shade
71,Intermediate Low,2.01,7.32,29.4,89.8,1830.5,13,Mouldboard,503,Start irrigation after 3 days,107.3,21,241.2,138.69,120.6,Alternate wetting,Apply split N,96.48,55.48,48.24,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,83.3,Shallow water 3 days,5222.0,2026-02-23,15.4,Sun-dry 3 days
72,Wet Low,2.99,7.16,27.9,80.6,1188.7,15,Mouldboard,438,Maintain 5cm water,174.2,20,358.8,206.31,179.4,Keep flooded,Thin seedlings,143.52,82.52,71.76,Reduce water 2 days,Ensure moist soil,,84.5,Shallow water 3 days,4822.1,2026-02-22,14.8,Sun-dry 3 days
73,Wet Low,2.2,4.98,29.2,80.6,1941.9,12,Chisel,597,Start irrigation after 3 days,118.0,18,264.0,158.4,132.0,Keep flooded,Increase spacing,105.6,63.36,52.8,Reduce water 2 days,Maintain shallow flooding,,86.7,Shallow water 3 days,5679.7,2026-02-26,13.9,Store under shade
74,Wet Low,2.14,3.56,29.0,87.2,1850.8,12,Mouldboard,533,Start irrigation after 3 days,107.7,23,256.8,154.08,128.4,Keep flooded,Increase spacing,102.72,61.63,51.36,Maintain 5cm water,Maintain shallow flooding,Chlorpyrifos,81.5,Alternate wetting,5800.0,2026-02-26,14.9,Store under shade
75,Wet Low,1.15,7.21,30.1,89.2,1408.9,14,Rotavator,466,Maintain 5cm water,67.1,20,138.0,79.35,69.0,Keep flooded,Apply split N,55.2,31.74,27.6,Maintain 5cm water,Reduce water pre-flowering,Fipronil,84.5,Shallow water 3 days,4706.8,2026-02-19,14.6,Store under shade
76,Wet Low,3.44,5.21,30.2,89.8,993.0,16,Rotavator,790,Start irrigation after 3 days,183.9,22,412.8,227.04,206.4,Maintain 3-5cm water,Apply split N,165.12,90.82,82.56,Flood for 1 week,Ensure moist soil,Fipronil,85.9,Alternate wetting,4473.7,2026-02-27,14.3,Store under shade
77,Wet Low,3.01,7.37,27.2,86.3,1941.7,15,Chisel,578,Irrigate weekly,173.8,20,361.2,207.69,180.6,Maintain 3-5cm water,Increase spacing,144.48,83.08,72.24,Reduce water 2 days,Ensure moist soil,Fipronil,89.5,Maintain 3-5cm,5561.1,2026-02-23,13.4,Thresh immediately
78,Intermediate Low,1.21,7.35,28.9,80.6,1684.5,17,Chisel,441,Irrigate weekly,64.9,19,145.2,83.49,72.6,Alternate wetting,Thin seedlings,58.08,33.4,29.04,Maintain 5cm water,Reduce water pre-flowering,Fipronil,82.5,Shallow water 3 days,4549.6,2026-02-22,15.7,Sun-dry 3 days
79,Intermediate Low,2.11,6.91,30.1,76.3,2112.9,17,Chisel,414,Start irrigation after 3 days,123.7,18,253.2,126.6,126.6,Maintain 3-5cm water,Apply split N,101.28,50.64,50.64,Reduce water 2 days,Maintain shallow flooding,,83.6,Maintain 3-5cm,5645.2,2026-02-24,14.3,Thresh immediately
80,Wet Low,4.63,4.68,29.5,86.7,1684.3,13,Mouldboard,510,Maintain 5cm water,241.7,19,555.6,333.36,277.8,Maintain 3-5cm water,Apply split N,222.24,133.34,111.12,Flood for 1 week,Maintain shallow flooding,,83.8,Maintain 3-5cm,4847.5,2026-02-24,13.6,Sun-dry 3 days
81,Intermediate Low,1.96,5.04,31.3,83.4,2248.7,15,Rotavator,556,Irrigate weekly,117.1,19,235.2,129.36,117.6,Alternate wetting,Increase spacing,94.08,51.74,47.04,Maintain 5cm water,Maintain shallow flooding,,86.1,Maintain 3-5cm,5335.1,2026-02-20,14.1,Sun-dry 3 days
82,Dry Low,1.58,6.9,30.3,81.4,1738.2,17,Rotavator,688,Maintain 5cm water,91.3,22,189.6,94.8,94.8,Maintain 3-5cm water,Thin seedlings,75.84,37.92,37.92,Maintain 5cm water,Maintain shallow flooding,,83.6,Alternate wetting,4191.1,2026-02-26,14.2,Store under shade
